code,city,country,lat,lon,ip
N/A, N/A, FR, 48.860001, 2.350000,195.64.164.87
N/A, N/A, AT, 47.333302, 13.333300,158.255.97.90
TX, Texas, US, 32.929901, -96.835297,173.192.220.64
TX, Texas, US, 32.929901, -96.835297,173.193.208.135
CA, California, US, 37.419201, -122.057404,173.194.34.37
CA, California, US, 37.419201, -122.057404,173.194.34.38
CA, California, US, 37.419201, -122.057404,173.194.34.43
CA, California, US, 37.419201, -122.057404,173.194.34.56
CA, California, US, 37.419201, -122.057404,173.194.40.106
CA, California, US, 37.419201, -122.057404,173.194.40.110
CA, California, US, 37.419201, -122.057404,173.194.40.111
CA, California, US, 37.419201, -122.057404,173.194.40.112
CA, California, US, 37.419201, -122.057404,173.194.40.121
CA, California, US, 37.419201, -122.057404,173.194.40.96
CA, California, US, 37.419201, -122.057404,173.194.40.98
CA, California, US, 37.419201, -122.057404,173.194.40.99
CA, California, US, 37.419201, -122.057404,173.194.67.84
CA, California, US, 34.148399, -118.166199,173.241.240.153
CA, California, US, 33.916401, -118.404099,173.245.2.213
N/A, N/A, IE, 53.000000, -8.000000,176.34.187.168
N/A, N/A, FR, 48.860001, 2.350000,178.250.2.76
N/A, N/A, GB, 51.500000, -0.130000,185.29.133.223
N/A, N/A, GB, 51.500000, -0.130000,185.29.134.233
N/A, N/A, US, 38.000000, -97.000000,185.31.128.232
N/A, N/A, EU, 47.000000, 8.000000,185.31.17.166
N/A, N/A, FR, 48.860001, 2.350000,194.126.157.22
N/A, N/A, FR, 48.860001, 2.350000,195.64.164.87
VA, Virginia, US, 38.949902, -77.222298,198.47.127.15
CA, California, US, 37.769699, -122.393303,199.16.156.102
N/A, N/A, EU, 47.000000, 8.000000,2.16.117.16
N/A, N/A, EU, 47.000000, 8.000000,2.16.117.17
N/A, N/A, EU, 47.000000, 8.000000,2.16.117.32
N/A, N/A, EU, 47.000000, 8.000000,2.16.117.9
CO, Colorado, US, 39.623699, -104.873802,204.2.197.211
TX, Texas, US, 29.488899, -98.398697,216.151.217.11
GA, Georgia, US, 33.751598, -84.391502,216.52.92.110
N/A, N/A, GB, 51.500000, -0.130000,217.163.21.34
07, Noord-Holland, NL, 52.349998, 4.916700,23.205.104.182
07, Noord-Holland, NL, 52.349998, 4.916700,23.205.82.104
07, Noord-Holland, NL, 52.349998, 4.916700,23.205.83.136
07, Noord-Holland, NL, 52.349998, 4.916700,23.205.83.156
07, Noord-Holland, NL, 52.349998, 4.916700,23.205.92.118
07, Noord-Holland, NL, 52.349998, 4.916700,23.205.95.221
CA, California, US, 37.419201, -122.057404,23.251.136.174
N/A, N/A, IE, 53.000000, -8.000000,31.13.64.129
N/A, N/A, IE, 53.000000, -8.000000,31.13.81.49
N/A, N/A, GB, 51.500000, -0.130000,31.186.225.24
N/A, N/A, FR, 48.860001, 2.350000,37.187.131.59
N/A, N/A, EU, 47.000000, 8.000000,37.252.162.191
N/A, N/A, US, 38.000000, -97.000000,38.65.9.35
N/A, N/A, GB, 51.500000, -0.130000,46.228.164.11
N/A, N/A, GB, 51.500000, -0.130000,46.228.164.13
IL, Illinois, US, 41.877602, -87.627197,50.31.185.44
OR, Oregon, US, 45.778801, -119.528999,54.201.49.130
N/A, N/A, IE, 53.000000, -8.000000,54.228.184.146
N/A, N/A, IE, 53.000000, -8.000000,54.228.210.111
VA, Virginia, US, 39.043701, -77.487503,54.235.154.88
07, Dublin, IE, 53.333099, -6.248900,54.72.228.64
07, Dublin, IE, 53.333099, -6.248900,54.72.42.191
07, Dublin, IE, 53.333099, -6.248900,54.72.95.12
N/A, N/A, IE, 53.000000, -8.000000,54.76.18.165
N/A, N/A, IE, 53.000000, -8.000000,54.76.251.88
N/A, N/A, NL, 52.500000, 5.750000,62.51.0.45
GA, Georgia, US, 34.075401, -84.294098,63.135.172.251
N/A, N/A, US, 38.000000, -97.000000,64.12.106.9
NY, New York, US, 40.688801, -74.020302,64.34.226.93
GA, Georgia, US, 33.751598, -84.391502,64.74.232.39
GA, Georgia, US, 33.751598, -84.391502,64.74.232.42
GA, Georgia, US, 33.751598, -84.391502,64.74.232.45
CA, California, US, 34.011902, -118.468201,68.232.35.139
CA, California, US, 33.916401, -118.404099,69.89.76.20
GA, Georgia, US, 33.751598, -84.391502,70.42.146.145
CA, California, US, 37.622799, -122.436401,74.117.199.102
CA, California, US, 37.419201, -122.057404,74.120.148.12
CA, California, US, 37.419201, -122.057404,74.125.206.84
N/A, N/A, GB, 51.500000, -0.130000,81.22.37.155
N/A, N/A, DE, 51.000000, 9.000000,85.114.159.66
N/A, N/A, FR, 48.860001, 2.350000,87.98.137.129
N/A, N/A, FR, 48.860001, 2.350000,87.98.176.113
N/A, N/A, EU, 47.000000, 8.000000,88.221.83.105
N/A, N/A, EU, 47.000000, 8.000000,88.221.83.56
N/A, N/A, EU, 47.000000, 8.000000,88.221.83.97
A8, Ile-de-France, FR, 48.866699, 2.333300,91.103.138.103
A8, Ile-de-France, FR, 48.866699, 2.333300,91.103.138.12
A8, Ile-de-France, FR, 48.866699, 2.333300,91.103.138.2
N/A, N/A, FR, 48.860001, 2.350000,91.103.139.1
N/A, N/A, FR, 48.860001, 2.350000,91.103.139.99
N/A, N/A, FR, 48.860001, 2.350000,91.103.140.193
N/A, N/A, FR, 48.860001, 2.350000,91.103.140.225
N/A, N/A, US, 38.000000, -97.000000,93.184.220.20
N/A, N/A, FR, 48.860001, 2.350000,94.23.97.234
